"Time (UTCG)","g/T (dB/K)","Eb/No (dB)","Range (km)","BER"
27 Nov 2024 11:33:03.193,-41.32776760,16.08922070,2354.310705,9.82433688e-20
27 Nov 2024 11:34:03.000,-38.42156598,20.14819018,2062.346093,1.00000000e-30
27 Nov 2024 11:35:03.000,-35.24793056,24.43075585,1816.024285,1.00000000e-30
27 Nov 2024 11:36:03.000,-32.70047952,27.87708805,1638.602047,1.00000000e-30
27 Nov 2024 11:37:03.000,-31.45162709,29.59082486,1554.552673,1.00000000e-30
27 Nov 2024 11:38:03.000,-31.81763751,29.08525700,1579.101215,1.00000000e-30
27 Nov 2024 11:39:03.000,-33.70571394,26.51185175,1707.388781,1.00000000e-30
27 Nov 2024 11:40:03.000,-36.62538951,22.57588499,1918.196570,1.00000000e-30
27 Nov 2024 11:41:03.000,-39.79408373,18.26453980,2187.026983,1.00000000e-30
27 Nov 2024 11:41:32.070,-41.14328240,16.35647216,2332.047301,7.22935639e-21

"Time (UTCG)","g/T (dB/K)","Eb/No (dB)","Range (km)","BER"
28 Nov 2024 01:36:38.797,-41.14865706,16.34718279,2332.203435,7.93699709e-21
28 Nov 2024 01:37:38.000,-37.59738258,21.26030043,1994.147791,1.00000000e-30
28 Nov 2024 01:38:38.000,-33.33694691,27.00248586,1681.953938,1.00000000e-30
28 Nov 2024 01:39:38.000,-29.48231991,32.31865238,1422.274479,1.00000000e-30
28 Nov 2024 01:40:38.000,-27.07693635,35.85550496,1249.687125,1.00000000e-30
28 Nov 2024 01:41:38.000,-26.51549797,36.75312723,1203.146645,1.00000000e-30
28 Nov 2024 01:42:38.000,-27.69180027,34.91780619,1296.552176,1.00000000e-30
28 Nov 2024 01:43:38.000,-30.69315046,30.62162167,1503.807818,1.00000000e-30
28 Nov 2024 01:44:38.000,-34.81490998,25.00629949,1785.107418,1.00000000e-30
28 Nov 2024 01:45:38.000,-38.96822593,19.39728594,2110.226546,1.00000000e-30
28 Nov 2024 01:46:20.479,-41.34145288,16.06397169,2356.568196,1.24693306e-19

"Time (UTCG)","g/T (dB/K)","Eb/No (dB)","Range (km)","BER"
28 Nov 2024 03:16:26.078,-41.22653494,16.23184198,2341.666688,2.48967719e-20
28 Nov 2024 03:17:26.000,-37.19420105,21.80104725,1962.075435,1.00000000e-30
28 Nov 2024 03:18:26.000,-32.06209209,28.73098661,1595.483321,1.00000000e-30
28 Nov 2024 03:19:26.000,-27.16011209,35.71228242,1256.224066,1.00000000e-30
28 Nov 2024 03:20:26.000,-25.61466530,39.46386892,975.134035,1.00000000e-30
28 Nov 2024 03:21:26.000,-37.16534027,29.47068439,816.183176,1.00000000e-30
28 Nov 2024 03:22:26.000,-30.72087744,35.54393093,851.353189,1.00000000e-30
28 Nov 2024 03:23:26.000,-25.37930413,38.96102312,1061.316744,1.00000000e-30
28 Nov 2024 03:24:26.000,-28.67967963,33.45643633,1367.170842,1.00000000e-30
28 Nov 2024 03:25:26.000,-33.85221843,26.29997693,1717.553802,1.00000000e-30
