"Time (UTCG)","EIRP (dBW)","Rcvd. Frequency (GHz)","Rcvd. Iso. Power (dBW)","Flux Density (dBW/m^2)","g/T (dB/K)","C/No (dB*Hz)","Bandwidth (kHz)","C/N (dB)","Eb/No (dB)","BER"
27 Nov 2024 11:00:00.000,40.777,2.250037,-9999.990,-9999.990000,-50.860547,-9999.990000,100.000,-9999.9900,-9999.9900,5.000000e-01
27 Nov 2024 11:01:00.000,40.748,2.250037,-9999.990,-9999.990000,-47.791656,-9999.990000,100.000,-9999.9900,-9999.9900,5.000000e-01
27 Nov 2024 11:02:00.000,40.746,2.250037,-9999.990,-9999.990000,-54.623980,-9999.990000,100.000,-9999.9900,-9999.9900,5.000000e-01
27 Nov 2024 11:03:00.000,40.772,2.250037,-9999.990,-9999.990000,-54.623980,-9999.990000,100.000,-9999.9900,-9999.9900,5.000000e-01
27 Nov 2024 11:04:00.000,40.827,2.250037,-9999.990,-9999.990000,-54.623980,-9999.990000,100.000,-9999.9900,-9999.9900,5.000000e-01
27 Nov 2024 11:05:00.000,40.912,2.250037,-9999.990,-9999.990000,-54.623980,-9999.990000,100.000,-9999.9900,-9999.9900,5.000000e-01
27 Nov 2024 11:06:00.000,41.024,2.250036,-9999.990,-9999.990000,-54.623980,-9999.990000,100.000,-9999.9900,-9999.9900,5.000000e-01
27 Nov 2024 11:07:00.000,41.163,2.250035,-9999.990,-9999.990000,-54.623980,-9999.990000,100.000,-9999.9900,-9999.9900,5.000000e-01
27 Nov 2024 11:08:00.000,41.327,2.250035,-9999.990,-9999.990000,-54.623980,-9999.990000,100.000,-9999.9900,-9999.9900,5.000000e-01
27 Nov 2024 11:09:00.000,41.512,2.250034,-9999.990,-9999.990000,-54.623980,-9999.990000,100.000,-9999.9900,-9999.9900,5.000000e-01
27 Nov 2024 11:10:00.000,41.716,2.250033,-9999.990,-9999.990000,-54.623980,-9999.990000,100.000,-9999.9900,-9999.9900,5.000000e-01
27 Nov 2024 11:11:00.000,41.934,2.250031,-9999.990,-9999.990000,-54.623980,-9999.990000,100.000,-9999.9900,-9999.9900,5.000000e-01
27 Nov 2024 11:12:00.000,42.162,2.250030,-9999.990,-9999.990000,-54.623980,-9999.990000,100.000,-9999.9900,-9999.9900,5.000000e-01
27 Nov 2024 11:13:00.000,42.397,2.250028,-9999.990,-9999.990000,-54.623980,-9999.990000,100.000,-9999.9900,-9999.9900,5.000000e-01
27 Nov 2024 11:14:00.000,42.632,2.250027,-9999.990,-9999.990000,-54.623980,-9999.990000,100.000,-9999.9900,-9999.9900,5.000000e-01
27 Nov 2024 11:15:00.000,42.864,2.250025,-9999.990,-9999.990000,-54.623980,-9999.990000,100.000,-9999.9900,-9999.9900,5.000000e-01
27 Nov 2024 11:16:00.000,43.088,2.250023,-9999.990,-9999.990000,-54.623980,-9999.990000,100.000,-9999.9900,-9999.9900,5.000000e-01
27 Nov 2024 11:17:00.000,43.300,2.250020,-9999.990,-9999.990000,-54.623980,-9999.990000,100.000,-9999.9900,-9999.9900,5.000000e-01
27 Nov 2024 11:18:00.000,43.496,2.250018,-9999.990,-9999.990000,-54.623980,-9999.990000,100.000,-9999.9900,-9999.9900,5.000000e-01
27 Nov 2024 11:19:00.000,43.672,2.250016,-9999.990,-9999.990000,-54.623980,-9999.990000,100.000,-9999.9900,-9999.9900,5.000000e-01
27 Nov 2024 11:20:00.000,43.824,2.250013,-9999.990,-9999.990000,-54.623980,-9999.990000,100.000,-9999.9900,-9999.9900,5.000000e-01
27 Nov 2024 11:21:00.000,43.951,2.250010,-9999.990,-9999.990000,-54.623980,-9999.990000,100.000,-9999.9900,-9999.9900,5.000000e-01
27 Nov 2024 11:22:00.000,44.049,2.250007,-9999.990,-9999.990000,-54.623980,-9999.990000,100.000,-9999.9900,-9999.9900,5.000000e-01
27 Nov 2024 11:23:00.000,44.116,2.250004,-9999.990,-9999.990000,-54.623980,-9999.990000,100.000,-9999.9900,-9999.9900,5.000000e-01
27 Nov 2024 11:24:00.000,44.152,2.250001,-9999.990,-9999.990000,-54.623980,-9999.990000,100.000,-9999.9900,-9999.9900,5.000000e-01
27 Nov 2024 11:25:00.000,44.155,2.249998,-9999.990,-9999.990000,-54.623980,-9999.990000,100.000,-9999.9900,-9999.9900,5.000000e-01
27 Nov 2024 11:26:00.000,44.126,2.249995,-9999.990,-9999.990000,-54.623980,-9999.990000,100.000,-9999.9900,-9999.9900,5.000000e-01
27 Nov 2024 11:27:00.000,44.063,2.249992,-9999.990,-9999.990000,-54.623980,-9999.990000,100.000,-9999.9900,-9999.9900,5.000000e-01
27 Nov 2024 11:28:00.000,43.969,2.249989,-9999.990,-9999.990000,-54.623980,-9999.990000,100.000,-9999.9900,-9999.9900,5.000000e-01
27 Nov 2024 11:29:00.000,43.844,2.249986,-9999.990,-9999.990000,-54.623980,-9999.990000,100.000,-9999.9900,-9999.9900,5.000000e-01
27 Nov 2024 11:30:00.000,43.691,2.249983,-9999.990,-9999.990000,-54.623980,-9999.990000,100.000,-9999.9900,-9999.9900,5.000000e-01
27 Nov 2024 11:31:00.000,43.511,2.249980,-9999.990,-9999.990000,-54.623980,-9999.990000,100.000,-9999.9900,-9999.9900,5.000000e-01
27 Nov 2024 11:32:00.000,43.309,2.249977,-9999.990,-9999.990000,-54.623980,-9999.990000,100.000,-9999.9900,-9999.9900,5.000000e-01
27 Nov 2024 11:33:00.000,43.088,2.249975,-9999.990,-9999.990000,-54.623980,-9999.990000,100.000,-9999.9900,-9999.9900,5.000000e-01
27 Nov 2024 11:34:00.000,42.853,2.249972,-9999.990,-9999.990000,-54.623980,-9999.990000,100.000,-9999.9900,-9999.9900,5.000000e-01
27 Nov 2024 11:35:00.000,42.608,2.249970,-9999.990,-9999.990000,-54.623980,-9999.990000,100.000,-9999.9900,-9999.9900,5.000000e-01
27 Nov 2024 11:36:00.000,42.360,2.249968,-9999.990,-9999.990000,-54.623980,-9999.990000,100.000,-9999.9900,-9999.9900,5.000000e-01
27 Nov 2024 11:37:00.000,42.113,2.249966,-9999.990,-9999.990000,-54.623980,-9999.990000,100.000,-9999.9900,-9999.9900,5.000000e-01
27 Nov 2024 11:38:00.000,41.873,2.249964,-9999.990,-9999.990000,-54.623980,-9999.990000,100.000,-9999.9900,-9999.9900,5.000000e-01
27 Nov 2024 11:39:00.000,41.647,2.249962,-9999.990,-9999.990000,-54.623980,-9999.990000,100.000,-9999.9900,-9999.9900,5.000000e-01
27 Nov 2024 11:40:00.000,41.439,2.249960,-9999.990,-9999.990000,-54.623980,-9999.990000,100.000,-9999.9900,-9999.9900,5.000000e-01
27 Nov 2024 11:41:00.000,41.256,2.249959,-9999.990,-9999.990000,-54.623980,-9999.990000,100.000,-9999.9900,-9999.9900,5.000000e-01
27 Nov 2024 11:42:00.000,41.102,2.249958,-9999.990,-9999.990000,-54.623980,-9999.990000,100.000,-9999.9900,-9999.9900,5.000000e-01
27 Nov 2024 11:43:00.000,40.981,2.249957,-9999.990,-9999.990000,-54.623980,-9999.990000,100.000,-9999.9900,-9999.9900,5.000000e-01
27 Nov 2024 11:44:00.000,40.895,2.249956,-9999.990,-9999.990000,-54.623980,-9999.990000,100.000,-9999.9900,-9999.9900,5.000000e-01
27 Nov 2024 11:45:00.000,40.848,2.249955,-9999.990,-9999.990000,-54.623980,-9999.990000,100.000,-9999.9900,-9999.9900,5.000000e-01
27 Nov 2024 11:46:00.000,40.839,2.249955,-9999.990,-9999.990000,-54.621615,-9999.990000,100.000,-9999.9900,-9999.9900,5.000000e-01
27 Nov 2024 11:47:00.000,40.869,2.249954,-9999.990,-9999.990000,-47.872699,-9999.990000,100.000,-9999.9900,-9999.9900,5.000000e-01
27 Nov 2024 11:48:00.000,40.936,2.249954,-9999.990,-9999.990000,-40.745032,-9999.990000,100.000,-9999.9900,-9999.9900,5.000000e-01
27 Nov 2024 11:49:00.000,41.038,2.249954,-9999.990,-9999.990000,-32.020642,-9999.990000,100.000,-9999.9900,-9999.9900,5.000000e-01
27 Nov 2024 11:50:00.000,41.173,2.249954,-9999.990,-9999.990000,-33.352726,-9999.990000,100.000,-9999.9900,-9999.9900,5.000000e-01
27 Nov 2024 11:51:00.000,41.338,2.249955,-9999.990,-9999.990000,-42.508469,-9999.990000,100.000,-9999.9900,-9999.9900,5.000000e-01
27 Nov 2024 11:52:00.000,41.528,2.249955,-9999.990,-9999.990000,-27.572598,-9999.990000,100.000,-9999.9900,-9999.9900,5.000000e-01
27 Nov 2024 11:53:00.000,41.739,2.249956,-9999.990,-9999.990000,-25.863307,-9999.990000,100.000,-9999.9900,-9999.9900,5.000000e-01
27 Nov 2024 11:54:00.000,41.967,2.249956,-9999.990,-9999.990000,-33.925696,-9999.990000,100.000,-9999.9900,-9999.9900,5.000000e-01
27 Nov 2024 11:54:07.820,41.998,2.249956,-9999.990,-9999.990000,-37.298095,-9999.990000,100.000,-9999.9900,-9999.9900,5.000000e-01

"Time (UTCG)","EIRP (dBW)","Rcvd. Frequency (GHz)","Rcvd. Iso. Power (dBW)","Flux Density (dBW/m^2)","g/T (dB/K)","C/No (dB*Hz)","Bandwidth (kHz)","C/N (dB)","Eb/No (dB)","BER"
27 Nov 2024 12:41:14.422,42.068,2.250047,-9999.990,-9999.990000,-37.824087,-9999.990000,100.000,-9999.9900,-9999.9900,5.000000e-01
27 Nov 2024 12:42:14.000,41.826,2.250048,-9999.990,-9999.990000,-25.989716,-9999.990000,100.000,-9999.9900,-9999.9900,5.000000e-01
27 Nov 2024 12:43:14.000,41.601,2.250049,-9999.990,-9999.990000,-27.786052,-9999.990000,100.000,-9999.9900,-9999.9900,5.000000e-01
27 Nov 2024 12:44:14.000,41.402,2.250050,-9999.990,-9999.990000,-52.988607,-9999.990000,100.000,-9999.9900,-9999.9900,5.000000e-01
27 Nov 2024 12:45:14.000,41.232,2.250050,-9999.990,-9999.990000,-32.001347,-9999.990000,100.000,-9999.9900,-9999.9900,5.000000e-01
27 Nov 2024 12:46:14.000,41.099,2.250051,-9999.990,-9999.990000,-33.916631,-9999.990000,100.000,-9999.9900,-9999.9900,5.000000e-01
27 Nov 2024 12:47:14.000,41.007,2.250051,-9999.990,-9999.990000,-63.722273,-9999.990000,100.000,-9999.9900,-9999.9900,5.000000e-01
27 Nov 2024 12:48:14.000,40.961,2.250051,-9999.990,-9999.990000,-47.769878,-9999.990000,100.000,-9999.9900,-9999.9900,5.000000e-01
27 Nov 2024 12:49:14.000,40.963,2.250051,-9999.990,-9999.990000,-54.623980,-9999.990000,100.000,-9999.9900,-9999.9900,5.000000e-01
27 Nov 2024 12:50:14.000,41.018,2.250051,-9999.990,-9999.990000,-54.623980,-9999.990000,100.000,-9999.9900,-9999.9900,5.000000e-01
27 Nov 2024 12:51:14.000,41.125,2.250051,-9999.990,-9999.990000,-54.623980,-9999.990000,100.000,-9999.9900,-9999.9900,5.000000e-01
27 Nov 2024 12:52:14.000,41.284,2.250050,-9999.990,-9999.990000,-54.623980,-9999.990000,100.000,-9999.9900,-9999.9900,5.000000e-01
27 Nov 2024 12:53:14.000,41.493,2.250049,-9999.990,-9999.990000,-54.623980,-9999.990000,100.000,-9999.9900,-9999.9900,5.000000e-01
27 Nov 2024 12:54:14.000,41.747,2.250048,-9999.990,-9999.990000,-54.623980,-9999.990000,100.000,-9999.9900,-9999.9900,5.000000e-01
27 Nov 2024 12:55:14.000,42.041,2.250047,-9999.990,-9999.990000,-54.623980,-9999.990000,100.000,-9999.9900,-9999.9900,5.000000e-01
27 Nov 2024 12:56:14.000,42.368,2.250046,-9999.990,-9999.990000,-54.623980,-9999.990000,100.000,-9999.9900,-9999.9900,5.000000e-01
27 Nov 2024 12:57:14.000,42.721,2.250044,-9999.990,-9999.990000,-54.623980,-9999.990000,100.000,-9999.9900,-9999.9900,5.000000e-01
27 Nov 2024 12:58:14.000,43.091,2.250042,-9999.990,-9999.990000,-54.623980,-9999.990000,100.000,-9999.9900,-9999.9900,5.000000e-01
27 Nov 2024 12:59:14.000,43.469,2.250040,-9999.990,-9999.990000,-54.623980,-9999.990000,100.000,-9999.9900,-9999.9900,5.000000e-01
27 Nov 2024 13:00:14.000,43.847,2.250037,-9999.990,-9999.990000,-54.623980,-9999.990000,100.000,-9999.9900,-9999.9900,5.000000e-01
27 Nov 2024 13:01:14.000,44.216,2.250034,-9999.990,-9999.990000,-54.623980,-9999.990000,100.000,-9999.9900,-9999.9900,5.000000e-01
27 Nov 2024 13:02:14.000,44.569,2.250031,-9999.990,-9999.990000,-54.623980,-9999.990000,100.000,-9999.9900,-9999.9900,5.000000e-01
27 Nov 2024 13:03:14.000,44.898,2.250028,-9999.990,-9999.990000,-54.623980,-9999.990000,100.000,-9999.9900,-9999.9900,5.000000e-01
